2019-05-16 09:35:47,710 [Worker-213] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-05-16 09:35:48,077 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:35:48,078 [Worker-204] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:35:48,079 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:35:48,080 [Worker-204] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:35:48,080 [Worker-204] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of banking-app-soap
2019-05-16 09:35:48,080 [Worker-204] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for banking-app-soap
2019-05-16 09:35:48,082 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 is missing, no dependency information available
2019-05-16 09:35:48,082 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-jar-plugin:3.0.2: Plugin org.apache.maven.plugins:maven-jar-plugin:3.0.2 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 has not been downloaded from it before.
2019-05-16 09:35:48,083 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 is missing, no dependency information available
2019-05-16 09:35:48,084 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-jar-plugin:3.0.2: Plugin org.apache.maven.plugins:maven-jar-plugin:3.0.2 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 has not been downloaded from it before.
2019-05-16 09:35:48,086 [Worker-204] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:38:33,573 [Worker-213] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /Users/devkalagahamagar/eclipseMars/workspace/test/pom.xml
2019-05-16 09:38:33,901 [Worker-213] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:test:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/test/pom.xml.
2019-05-16 09:38:34,220 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/main/java
2019-05-16 09:38:34,220 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/main/resources
2019-05-16 09:38:34,220 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/test/java
2019-05-16 09:38:35,710 [Worker-213] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2019-05-16 09:38:35,963 [Worker-219] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:38:35,964 [Worker-219] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:38:35,965 [Worker-219] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:38:35,966 [Worker-219] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/devkalagahamagar/eclipseMars/workspace/test/src/test/resources
2019-05-16 09:50:36,331 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:50:36,339 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:50:36,342 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:50:36,342 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:50:37,372 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:50:37,373 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:50:37,376 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:50:37,376 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/devkalagahamagar/eclipseMars/workspace/test/src/test/resources
2019-05-16 09:51:05,710 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-05-16 09:51:06,106 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-16 09:51:06,910 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banking-app-soap/src/main/java
2019-05-16 09:51:06,911 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banking-app-soap/src/main/resources
2019-05-16 09:51:06,913 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banking-app-soap/src/test/java
2019-05-16 09:51:06,914 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banking-app-soap/src/test/resources
2019-05-16 09:51:07,759 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for banking-app-soap
2019-05-16 09:51:07,761 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2019-05-16 09:51:08,436 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:51:08,439 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:51:08,460 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:51:08,461 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
